Ingredients,Value,PPG,SRM,EZWaterCode,FlavorProfile,DP,isGrain
"Brown Sugar, Light - 20°L",108,1.044,20,1,Brown sugar is a sucrose sugar product with a distinctive brown color due to the presence of molasses. It is either an unrefined or partially refined soft sugar consisting of sugar crystals with some residual molasses content.  Dark brown sugar contains 6.5% molasses.,0,0
"Brown Sugar, Dark - 40°L",107,1.044,40,1,Brown sugar is a sucrose sugar product with a distinctive brown color due to the presence of molasses. It is either an unrefined or partially refined soft sugar consisting of sugar crystals with some residual molasses content. Light brown sugar contains 3.5% molasses.,0,0
"Candi Sugar, Blonde (Soft) - 5°L",109,1.038,5,1,"Use this soft candi sugar in all of your Belgian beers to impart a wonderfully soft and well-rounded flavor that you have never had in your beers before! A by-product of the rock candi and candi syrup making processes, soft sugar is made up of tiny crystals of beet sugar that have been removed from the syrup by way of a centrifuge. These crystals have a more intense flavor than the traditional sugar rocks American brewers are used to seeing. This is the same candi sugar used by the famous Rochefort brewery in Belgium. Soft and delicate candi syrup flavor and light color. 

",0,0
"Candi Sugar, Brown (Soft) - 40°L",110,1.032,40,1,"Use this soft candi sugar in all of your Belgian beers to impart a wonderfully soft and well-rounded flavor that you have never had in your beers before! A by-product of the rock candi and candi syrup making processes, soft sugar is made up of tiny crystals of beet sugar that have been removed from the syrup by way of a centrifuge. These crystals have a more intense flavor than the traditional sugar rocks American brewers are used to seeing. This is the same candi sugar used by the famous Rochefort brewery in Belgium. Dark brown Soft Candi Sugar is full of dark candi syrup flavor but has a higher sugar content and is easier for some breweries to handle over a liquid sugar. 

",0,0
"Candi Sugar, Clear (Hard) - 0°L",111,1.046,0,1,"Imported from Belgium, this sugar is refined from sugar beets, and is 100% fermentable. 0°L.",0,0
"Candi Sugar, Dark (Hard) - 275°L",112,1.046,100,1,"Imported from Belgium, this sugar is refined from sugar beets, and is 100% fermentable. Rated at 275°L; actual color contribution is lower.",0,0
"Candi Syrup, Clear - 0°L",114,1.032,0,1,"A premium clear Belgian candi syrup made from beet sugar. Provides clean honey-like flavor to light Belgian Ales. Great for Tripels, Golden Strong ales, or anytime you're looking for increased drinkability and complexity",0,0
"Candi Syrup, Amber - 45°L",113,1.032,45,1,"This premium amber Belgian candi syrup is perfect for amber and brown Belgian ales. The syrup is made from beet sugar and has flavors of toffee, vanilla, and toasted bread.",0,0
"Candi Syrup, Dark - 90°L",116,1.032,80,1,"D-90 is a versatile dark candi syrup made with pure beet sugar. This syrup creates an unmistakable and subtle chocolate back-palate, toffee, and toasted bread flavors.",0,0
"Candi Syrup, D2 - 180°L",115,1.032,180,1,"This premium extra dark Belgian candi syrup is made from beet sugar and date sugar and has deep flavors of fresh ground coffee, dark fruit, and toasted bread. Perfect for use in dark Belgian ales. 180 SRM",0,0
Cane Sugar - 0°L,117,1.046,0,1,Sucrose,0,0
